WardName,Municipality,Municipality_en,Mesh250m,PeriodKey,PricePerSqM,TradePriceValue,AreaSqM,BuildingAge,Latitude,Longitude,MeshLat,MeshLon
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394631,2018-Q1,550000,33000000,60,5,35.69,139.77,35.69,139.77
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394631,2018-Q2,558500,36302500,65,6,35.69,139.77,35.69,139.77
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394631,2018-Q3,567000,39690000,70,7,35.69,139.77,35.69,139.77
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394631,2018-Q4,575500,34530000,60,8,35.69,139.77,35.69,139.77
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394631,2019-Q1,584000,37960000,65,9,35.69,139.77,35.69,139.77
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394631,2019-Q2,592500,41475000,70,10,35.69,139.77,35.69,139.77
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394631,2019-Q3,601000,36060000,60,11,35.69,139.77,35.69,139.77
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394631,2019-Q4,609500,39617500,65,12,35.69,139.77,35.69,139.77
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394631,2020-Q1,618000,43260000,70,13,35.69,139.77,35.69,139.77
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394631,2020-Q2,626500,37590000,60,14,35.69,139.77,35.69,139.77
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394631,2020-Q3,635000,41275000,65,15,35.69,139.77,35.69,139.77
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394631,2020-Q4,643500,45045000,70,16,35.69,139.77,35.69,139.77
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394631,2021-Q1,652000,39120000,60,17,35.69,139.77,35.69,139.77
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394631,2021-Q2,660500,42932500,65,18,35.69,139.77,35.69,139.77
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394631,2021-Q3,669000,46830000,70,19,35.69,139.77,35.69,139.77
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394631,2021-Q4,677500,40650000,60,20,35.69,139.77,35.69,139.77
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394631,2022-Q1,686000,44590000,65,21,35.69,139.77,35.69,139.77
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394632,2018-Q1,540000,32400000,60,5,35.7,139.74,35.7,139.74
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394632,2018-Q2,547500,35587500,65,6,35.7,139.74,35.7,139.74
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394632,2018-Q3,555000,38850000,70,7,35.7,139.74,35.7,139.74
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394632,2018-Q4,562500,33750000,60,8,35.7,139.74,35.7,139.74
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394632,2019-Q1,570000,37050000,65,9,35.7,139.74,35.7,139.74
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394632,2019-Q2,577500,40425000,70,10,35.7,139.74,35.7,139.74
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394632,2019-Q3,585000,35100000,60,11,35.7,139.74,35.7,139.74
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394632,2019-Q4,592500,38512500,65,12,35.7,139.74,35.7,139.74
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394632,2020-Q1,600000,42000000,70,13,35.7,139.74,35.7,139.74
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394632,2020-Q2,607500,36450000,60,14,35.7,139.74,35.7,139.74
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394632,2020-Q3,615000,39975000,65,15,35.7,139.74,35.7,139.74
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394632,2020-Q4,622500,43575000,70,16,35.7,139.74,35.7,139.74
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394632,2021-Q1,630000,37800000,60,17,35.7,139.74,35.7,139.74
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394632,2021-Q2,637500,41437500,65,18,35.7,139.74,35.7,139.74
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394632,2021-Q3,645000,45150000,70,19,35.7,139.74,35.7,139.74
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394632,2021-Q4,652500,39150000,60,20,35.7,139.74,35.7,139.74
Chiyoda Ward,Chiyoda Ward,Chiyoda Ward,53394632,2022-Q1,660000,42900000,65,21,35.7,139.74,35.7,139.74
Aoba Ward,Aoba Ward,Aoba Ward,58405001,2018-Q1,320000,19200000,60,5,38.27,140.87,38.27,140.87
Aoba Ward,Aoba Ward,Aoba Ward,58405001,2018-Q2,326000,21190000,65,6,38.27,140.87,38.27,140.87
Aoba Ward,Aoba Ward,Aoba Ward,58405001,2018-Q3,332000,23240000,70,7,38.27,140.87,38.27,140.87
Aoba Ward,Aoba Ward,Aoba Ward,58405001,2018-Q4,338000,20280000,60,8,38.27,140.87,38.27,140.87
Aoba Ward,Aoba Ward,Aoba Ward,58405001,2019-Q1,344000,22360000,65,9,38.27,140.87,38.27,140.87
Aoba Ward,Aoba Ward,Aoba Ward,58405001,2019-Q2,350000,24500000,70,10,38.27,140.87,38.27,140.87
Aoba Ward,Aoba Ward,Aoba Ward,58405001,2019-Q3,356000,21360000,60,11,38.27,140.87,38.27,140.87
Aoba Ward,Aoba Ward,Aoba Ward,58405001,2019-Q4,362000,23530000,65,12,38.27,140.87,38.27,140.87
Aoba Ward,Aoba Ward,Aoba Ward,58405001,2020-Q1,368000,25760000,70,13,38.27,140.87,38.27,140.87
Aoba Ward,Aoba Ward,Aoba Ward,58405001,2020-Q2,374000,22440000,60,14,38.27,140.87,38.27,140.87
Aoba Ward,Aoba Ward,Aoba Ward,58405001,2020-Q3,380000,24700000,65,15,38.27,140.87,38.27,140.87
Aoba Ward,Aoba Ward,Aoba Ward,58405001,2020-Q4,386000,27020000,70,16,38.27,140.87,38.27,140.87
Aoba Ward,Aoba Ward,Aoba Ward,58405001,2021-Q1,392000,23520000,60,17,38.27,140.87,38.27,140.87
Aoba Ward,Aoba Ward,Aoba Ward,58405001,2021-Q2,398000,25870000,65,18,38.27,140.87,38.27,140.87
Aoba Ward,Aoba Ward,Aoba Ward,58405001,2021-Q3,404000,28280000,70,19,38.27,140.87,38.27,140.87
Aoba Ward,Aoba Ward,Aoba Ward,58405001,2021-Q4,410000,24600000,60,20,38.27,140.87,38.27,140.87
Aoba Ward,Aoba Ward,Aoba Ward,58405001,2022-Q1,416000,27040000,65,21,38.27,140.87,38.27,140.87
Aoba Ward,Aoba Ward,Aoba Ward,58405002,2018-Q1,310000,18600000,60,5,38.29,140.85,38.29,140.85
Aoba Ward,Aoba Ward,Aoba Ward,58405002,2018-Q2,315500,20507500,65,6,38.29,140.85,38.29,140.85
Aoba Ward,Aoba Ward,Aoba Ward,58405002,2018-Q3,321000,22470000,70,7,38.29,140.85,38.29,140.85
Aoba Ward,Aoba Ward,Aoba Ward,58405002,2018-Q4,326500,19590000,60,8,38.29,140.85,38.29,140.85
Aoba Ward,Aoba Ward,Aoba Ward,58405002,2019-Q1,332000,21580000,65,9,38.29,140.85,38.29,140.85
Aoba Ward,Aoba Ward,Aoba Ward,58405002,2019-Q2,337500,23625000,70,10,38.29,140.85,38.29,140.85
Aoba Ward,Aoba Ward,Aoba Ward,58405002,2019-Q3,343000,20580000,60,11,38.29,140.85,38.29,140.85
Aoba Ward,Aoba Ward,Aoba Ward,58405002,2019-Q4,348500,22652500,65,12,38.29,140.85,38.29,140.85
Aoba Ward,Aoba Ward,Aoba Ward,58405002,2020-Q1,354000,24780000,70,13,38.29,140.85,38.29,140.85
Aoba Ward,Aoba Ward,Aoba Ward,58405002,2020-Q2,359500,21570000,60,14,38.29,140.85,38.29,140.85
Aoba Ward,Aoba Ward,Aoba Ward,58405002,2020-Q3,365000,23725000,65,15,38.29,140.85,38.29,140.85
Aoba Ward,Aoba Ward,Aoba Ward,58405002,2020-Q4,370500,25935000,70,16,38.29,140.85,38.29,140.85
Aoba Ward,Aoba Ward,Aoba Ward,58405002,2021-Q1,376000,22560000,60,17,38.29,140.85,38.29,140.85
Aoba Ward,Aoba Ward,Aoba Ward,58405002,2021-Q2,381500,24797500,65,18,38.29,140.85,38.29,140.85
Aoba Ward,Aoba Ward,Aoba Ward,58405002,2021-Q3,387000,27090000,70,19,38.29,140.85,38.29,140.85
Aoba Ward,Aoba Ward,Aoba Ward,58405002,2021-Q4,392500,23550000,60,20,38.29,140.85,38.29,140.85
Aoba Ward,Aoba Ward,Aoba Ward,58405002,2022-Q1,398000,25870000,65,21,38.29,140.85,38.29,140.85
