Mesh250m,PeriodKey,PriceIndex,Latitude,Longitude
53394631,2018-Q1,100.0,35.69,139.77
53394631,2018-Q2,101.54545454545453,35.69,139.77
53394631,2018-Q3,103.0909090909091,35.69,139.77
53394631,2018-Q4,104.63636363636364,35.69,139.77
53394631,2019-Q1,106.18181818181817,35.69,139.77
53394631,2019-Q2,107.72727272727273,35.69,139.77
53394631,2019-Q3,109.27272727272728,35.69,139.77
53394631,2019-Q4,110.81818181818181,35.69,139.77
53394631,2020-Q1,112.36363636363636,35.69,139.77
53394631,2020-Q2,113.90909090909092,35.69,139.77
53394631,2020-Q3,115.45454545454545,35.69,139.77
53394631,2020-Q4,117.0,35.69,139.77
53394631,2021-Q1,118.54545454545456,35.69,139.77
53394631,2021-Q2,120.0909090909091,35.69,139.77
53394631,2021-Q3,121.63636363636363,35.69,139.77
53394631,2021-Q4,123.18181818181819,35.69,139.77
53394631,2022-Q1,124.72727272727273,35.69,139.77
53394632,2018-Q1,100.0,35.7,139.74
53394632,2018-Q2,101.38888888888889,35.7,139.74
53394632,2018-Q3,102.77777777777777,35.7,139.74
53394632,2018-Q4,104.16666666666667,35.7,139.74
53394632,2019-Q1,105.55555555555556,35.7,139.74
53394632,2019-Q2,106.94444444444444,35.7,139.74
53394632,2019-Q3,108.33333333333333,35.7,139.74
53394632,2019-Q4,109.72222222222223,35.7,139.74
53394632,2020-Q1,111.11111111111111,35.7,139.74
53394632,2020-Q2,112.5,35.7,139.74
53394632,2020-Q3,113.88888888888889,35.7,139.74
53394632,2020-Q4,115.27777777777777,35.7,139.74
53394632,2021-Q1,116.66666666666667,35.7,139.74
53394632,2021-Q2,118.05555555555556,35.7,139.74
53394632,2021-Q3,119.44444444444444,35.7,139.74
53394632,2021-Q4,120.83333333333333,35.7,139.74
53394632,2022-Q1,122.22222222222223,35.7,139.74
58405001,2018-Q1,100.0,38.27,140.87
58405001,2018-Q2,101.875,38.27,140.87
58405001,2018-Q3,103.75000000000001,38.27,140.87
58405001,2018-Q4,105.62499999999999,38.27,140.87
58405001,2019-Q1,107.5,38.27,140.87
58405001,2019-Q2,109.375,38.27,140.87
58405001,2019-Q3,111.25,38.27,140.87
58405001,2019-Q4,113.12500000000001,38.27,140.87
58405001,2020-Q1,114.99999999999999,38.27,140.87
58405001,2020-Q2,116.875,38.27,140.87
58405001,2020-Q3,118.75,38.27,140.87
58405001,2020-Q4,120.625,38.27,140.87
58405001,2021-Q1,122.50000000000001,38.27,140.87
58405001,2021-Q2,124.37499999999999,38.27,140.87
58405001,2021-Q3,126.25,38.27,140.87
58405001,2021-Q4,128.125,38.27,140.87
58405001,2022-Q1,130.0,38.27,140.87
58405002,2018-Q1,100.0,38.29,140.85
58405002,2018-Q2,101.7741935483871,38.29,140.85
58405002,2018-Q3,103.54838709677419,38.29,140.85
58405002,2018-Q4,105.3225806451613,38.29,140.85
58405002,2019-Q1,107.0967741935484,38.29,140.85
58405002,2019-Q2,108.87096774193547,38.29,140.85
58405002,2019-Q3,110.64516129032258,38.29,140.85
58405002,2019-Q4,112.41935483870968,38.29,140.85
58405002,2020-Q1,114.19354838709677,38.29,140.85
58405002,2020-Q2,115.96774193548387,38.29,140.85
58405002,2020-Q3,117.74193548387098,38.29,140.85
58405002,2020-Q4,119.51612903225805,38.29,140.85
58405002,2021-Q1,121.29032258064515,38.29,140.85
58405002,2021-Q2,123.06451612903227,38.29,140.85
58405002,2021-Q3,124.83870967741935,38.29,140.85
58405002,2021-Q4,126.61290322580645,38.29,140.85
58405002,2022-Q1,128.38709677419357,38.29,140.85
