Level,Model,Fraction,TrainRows,ValRows,TestRows,TrainTimeSeconds,InferTimeSeconds,Test_MAE,Test_RMSE,Test_R2
Ward,LinearRegression,0.25,2,16,2,0.001263700018171221,0.0008289000252261758,1700.11929854966,1722.7308594978313,0.9998322233244239
Ward,RandomForest,0.25,2,16,2,0.2449419000186026,0.028301200014539063,89581.66666666669,114770.2924444204,0.25534399752514103
Ward,LightGBM,0.25,2,16,2,0.009757000021636486,0.0016813999973237514,133000.0,156509.5843710538,-0.3847730227825201
Ward,LinearRegression,0.5,4,16,2,0.0016571999876759946,0.00103420001687482,0.002332813572138548,0.0023334341375211686,0.9999999999999997
Ward,RandomForest,0.5,4,16,2,0.25785369996447116,0.03039209998678416,59908.333333333314,79455.34876408396,0.6431029200507536
Ward,LightGBM,0.5,4,16,2,0.008002800052054226,0.0017148000188171864,133000.0,154725.1721803857,-0.35337661293741873
Ward,LinearRegression,0.75,6,16,2,0.0013896999880671501,0.0010464000515639782,2.1012965589761734e-08,2.1013046209636044e-08,1.0
Ward,RandomForest,0.75,6,16,2,0.2647723000263795,0.029831400024704635,49539.58333333334,62128.50880153797,0.7817880261234225
Ward,LightGBM,0.75,6,16,2,0.008543900039512664,0.0013367999927140772,133000.0,152997.1915591917,-0.3233162205325344
Ward,LinearRegression,1.0,8,16,2,0.0013861999614164233,0.000868000031914562,5.0320522859692574e-08,5.2200379120545344e-08,1.0
Ward,RandomForest,1.0,8,16,2,0.27782770001795143,0.030065099999774247,45252.5,55896.77014372119,0.8233676910792018
Ward,LightGBM,1.0,8,16,2,0.009862200007773936,0.0016121999942697585,133000.0,151327.5756636906,-0.2945918455678671
