Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
MedianPriceSqM_ma4q,238187.93813437005,248200.52347749623,142530.2587959111,0.6531729810882329
MedianPriceSqM_lag1,82990.0386297574,88193.54240711029,41658.88470415516,0.2275801678162489
MedianPriceSqM_lag4,16297.170368423152,15032.63109726667,7085.82417322925,0.044691059657440024
MedianPriceSqM_growth_qoq,13856.639637536326,12362.13650485794,10775.080300145812,0.03799849266426377
MedianPriceSqM_growth_yoy,5652.746230100542,4972.652988319225,4259.381842365744,0.01550129337098141
TimeTrend,2413.5950859834193,1031.0516606070769,3523.0630524935737,0.0066187024825847575
AvgArea,1539.3555794953315,948.2042134578139,1802.9434379791878,0.004221311459720316
MedianPriceSqM_std4q,1169.379914633152,886.2987324144498,1132.6600595198863,0.0032067424188153017
AvgBuildingAge,890.1970330970918,561.0969783473836,858.963764743329,0.0024411506914170868
TransactionCount,771.3073028185412,547.6353334300022,936.6365492176712,0.0021151242764984243
Ward_encoded,325.5683801809128,199.97675743398196,314.4500809096542,0.0008927927715251028
ActiveMeshes,233.9589960771172,182.60490516242788,223.48414993498744,0.000641576127309571
Q_4,179.43670290755654,140.0235779641057,155.29384666586404,0.0004920618863943224
Q_2,86.68841199897702,49.59152906944817,110.08740419266402,0.00023772206491511769
Q_3,68.85609056121287,50.234861215802894,70.51938088883607,0.00018882122365313403
